Publisher,count,best_game_name,best_game_sales,total_sales
Nintendo,332,['Wii Sports'],[82.74],1647.14
Electronic Arts,328,['FIFA 16'],[8.49],723.77
Activision,157,['Call of Duty: Modern Warfare 3'],[14.76],484.82
Sony Computer Entertainment,144,['Gran Turismo 3: A-Spec'],[14.98],430.43000000000006
Take-Two Interactive,91,['Grand Theft Auto V'],[21.4],306.85
Ubisoft,107,['Just Dance 3'],[10.26],260.72
Microsoft Game Studios,54,['Kinect Adventures!'],[21.82],207.54000000000005
THQ,83,['WWF SmackDown!'],[3.58],149.66000000000003
Sega,71,['Mario & Sonic at the Olympic Games'],[8.06],138.12000000000003
Konami Digital Entertainment,60,['Metal Gear Solid 2: Sons of Liberty'],[6.05],127.26999999999998
Capcom,57,['Street Fighter II: The World Warrior'],[6.3],123.01
Namco Bandai Games,50,['Namco Museum'],[4.24],89.34
Warner Bros. Interactive Entertainment,42,['Batman: Arkham City'],[5.53],84.60000000000001
Square Enix,41,['Final Fantasy XII'],[5.95],83.72999999999999
Atari,41,['Pac-Man'],[7.81],78.59
LucasArts,33,['LEGO Star Wars: The Complete Saga'],[5.83],68.14
Bethesda Softworks,22,['The Elder Scrolls V: Skyrim'],[8.84],65.29
Eidos Interactive,26,['Tomb Raider II'],[5.24],60.14
Disney Interactive Studios,32,['Club Penguin: Elite Penguin Force'],[3.16],53.08
SquareSoft,19,['Final Fantasy VIII'],[7.86],42.96
Virgin Interactive,11,['Resident Evil 2'],[5.82],30.49
Enix Corporation,11,['Dragon Quest VII: Warriors of Eden'],[4.47],26.93
Midway Games,16,['Game Party'],[2.52],26.47
Acclaim Entertainment,16,['WWF War Zone'],[3.36],25.11
505 Games,7,['Zumba Fitness'],[6.81],24.57
Vivendi Games,11,['The Simpsons: Hit & Run'],[4.7],23.68
Sony Computer Entertainment Europe,7,['The Last of Us'],[5.99],20.450000000000003
Codemasters,11,['Colin McRae Rally'],[2.87],16.02
GT Interactive,4,['Driver'],[6.27],11.76
Universal Interactive,5,['Crash Bandicoot: The Wrath of Cortex'],[5.42],11.41
MTV Games,6,['Dance Central'],[3.19],10.98
Hasbro Interactive,5,['Frogger'],[4.16],10.75
989 Studios,6,['Cool Boarders 3'],[2.31],9.82
Deep Silver,5,['Dead Island'],[2.39],8.94
RedOctane,3,['Guitar Hero II'],[5.12],8.61
Level 5,3,['Yokai Watch 2 Shinuchi'],[2.68],6.23
ASCII Entertainment,4,['Derby Stallion'],[2.09],5.419999999999999
Red Orb,2,['Myst'],[2.81],5.24
Fox Interactive,2,['Croc: Legend of the Gobbos'],[3.56],5.1
Hudson Soft,4,['Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki'],[1.5],4.8
Arena Entertainment,2,['Mortal Kombat'],[2.67],4.72
Imagic,3,['Demon Attack'],[2.13],4.45
Palcom,1,['Teenage Mutant Ninja Turtles'],[4.17],4.17
D3Publisher,3,['Ben 10: Protector of Earth'],[1.7],3.9899999999999998
Mindscape,2,['Wipeout: The Game'],[2.09],3.8
Infogrames,2,['Sonic Mega Collection'],[2.05],3.7399999999999998
Tecmo Koei,2,['Dynasty Warriors 4'],[2.11],3.5
Maxis,2,['SimCity 2000'],[2.14],3.3600000000000003
Unknown,2,['Gran Turismo Concept 2001 Tokyo'],[1.84],3.06
Majesco Entertainment,1,['Zumba Fitness 2'],[2.88],2.88
TDK Mediactive,2,['Corvette'],[1.33],2.62
JVC,1,['Tetris Plus'],[2.4],2.4
NCSoft,1,['Guild Wars 2'],[2.3],2.3
UEP Systems,1,['Cool Boarders 2'],[2.25],2.25
Parker Bros.,1,['Frogger'],[2.2],2.2
Valve Software,1,['Portal 2'],[2.1],2.1
Square,1,['Final Fantasy II'],[1.77],1.77
Valve,1,['Portal 2'],[1.74],1.74
Activision Value,1,"[""Cabela's Big Game Hunter 2010""]",[1.7],1.7
Banpresto,1,['Super Puyo Puyo'],[1.7],1.7
Oxygen Interactive,1,['World Championship Poker: Featuring Howard Lederer - All In'],[1.68],1.68
Red Storm Entertainment,1,"[""Tom Clancy's Rainbow Six""]",[1.64],1.64
Video System,1,['F-1 World Grand Prix'],[1.6],1.6
Hello Games,1,"[""No Man's Sky""]",[1.6],1.6
Global Star,1,['ESPN NBA 2K5'],[1.59],1.59
Gotham Games,1,['Conflict: Desert Storm'],[1.57],1.57
Westwood Studios,1,['Command & Conquer: Tiberian Sun'],[1.55],1.55
GungHo,1,['Puzzle & Dragons'],[1.51],1.51
Crave Entertainment,1,['Tokyo Xtreme Racer Zero'],[1.5],1.5
Coleco,1,['Donkey Kong'],[1.46],1.46
Rising Star Games,1,['Hello Kitty Party'],[1.44],1.44
Atlus,1,['Persona 4: Golden'],[1.38],1.38
ASC Games,1,['TNN Motor Sports Hardcore 4x4'],[1.31],1.31
Zoo Games,1,['Deal or No Deal'],[1.31],1.31
Accolade,1,['Test Drive 5'],[1.3],1.3
Sony Online Entertainment,1,['Champions of Norrath'],[1.28],1.28
3DO,1,['Army Men 3D'],[1.28],1.28
RTL,1,['Winter Sports: The Ultimate Challenge'],[1.26],1.26
Natsume,1,['Reel Fishing'],[1.25],1.25
Focus Home Interactive,1,['Farming Simulator 2015'],[1.23],1.23
Alchemist,1,['Parfait: Chocolat Second Style'],[1.22],1.22
Black Label Games,1,['The Lord of the Rings: The Fellowship of the Ring'],[1.2],1.2
SouthPeak Games,1,['ATV Offroad Fury 3'],[1.2],1.2
Mastertronic,1,['Plants vs. Zombies'],[1.18],1.18
Psygnosis,1,['Destruction Derby 2'],[1.17],1.17
Zoo Digital Publishing,1,"[""Cabela's Dangerous Hunts""]",[1.17],1.17
Ocean,1,['Mission: Impossible'],[1.17],1.17
City Interactive,1,['Sniper: Ghost Warrior'],[1.16],1.16
Empire Interactive,1,['Bad Boys: Miami Takedown'],[1.15],1.15
Success,1,['Asteroids'],[1.15],1.15
Compile,1,['Puyo Puyo Sun Ketteiban'],[1.15],1.15
Russel,1,['Worldwide Soccer Manager 2008'],[1.12],1.12
Taito,1,['Densha De Go!'],[1.09],1.09
Agetec,1,"[""Fisherman's Bass Club""]",[1.08],1.08
Microprose,1,['Worms Armageddon'],[1.06],1.06
Play It,1,['Seek and Destroy'],[1.06],1.06
GSP,1,['Junior Brain Trainer'],[1.06],1.06
,0,[],[],0.0
